rank,type,tier,url,city,state,shop_count
73,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-truck-n-trailer-truck-repair-shop-oklahoma-city.html,Oklahoma City,OK,
74,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-gill-express-truck-trailer-repair-oklahoma-city.html,Oklahoma City,OK,
75,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mdp-mobile-mechanic-oklahoma-city.html,Oklahoma City,OK,
76,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-broadway-machine-oklahoma-city.html,Oklahoma City,OK,
77,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-breshears-mobile-mechanic-of-oklahoma-oklahoma-city.html,Oklahoma City,OK,
78,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-oil-field-ignition-parts-co-oklahoma-city.html,Oklahoma City,OK,
79,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-bee-clean-fuel-injector-services-oklahoma-city.html,Oklahoma City,OK,
80,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-diesel-mechanic-oklahoma-city.html,Oklahoma City,OK,
81,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-airstream-restoration-and-repair-llc-oklahoma-city.html,Oklahoma City,OK,
82,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-diesel-auto-clinic-oklahoma-city.html,Oklahoma City,OK,
83,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-delco-tools-equipment-oklahoma-city.html,Oklahoma City,OK,
84,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-jess-diesel-repair-services-oklahoma-city.html,Oklahoma City,OK,
85,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-total-equipment-repair-oklahoma-city.html,Oklahoma City,OK,
86,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-hg-conversions-trailer-and-rv-repair-and-service-oklahoma-city.html,Oklahoma City,OK,
87,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-okc-semi-truck-repair-llc-oklahoma-city.html,Oklahoma City,OK,
88,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-aaa-rv-collision-and-service-oklahoma-city.html,Oklahoma City,OK,
89,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-singh-truck-trailer-repair-oklahoma-city.html,Oklahoma City,OK,
90,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-inland-truck-parts-service-oklahoma-city.html,Oklahoma City,OK,
91,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-alpha-fleet-services-oklahoma-city.html,Oklahoma City,OK,
92,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-m-d-oklahoma-city-turbo-shop-oklahoma-city.html,Oklahoma City,OK,
93,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-pierce-automotive-oklahoma-city.html,Oklahoma City,OK,
94,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-d-c-transmission-services-oklahoma-city.html,Oklahoma City,OK,
95,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-nationwide-trailers-oklahoma-city-oklahoma-city.html,Oklahoma City,OK,
96,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-hardgrave-better-built-trailer-oklahoma-city.html,Oklahoma City,OK,
97,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-j-r-commercial-radiator-co-oklahoma-city.html,Oklahoma City,OK,
98,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-absolute-rv-repair-oklahoma-city.html,Oklahoma City,OK,
99,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-superior-trailer-sales-body-oklahoma-city.html,Oklahoma City,OK,
100,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-gt-truck-trailer-repair-oklahoma-city.html,Oklahoma City,OK,
101,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-krishna-truck-trailer-service-center-oklahoma-city.html,Oklahoma City,OK,
102,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-inland-truck-parts-service-oklahoma-city-2.html,Oklahoma City,OK,
103,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-kwl-diesel-equipment-repair-oklahoma-city.html,Oklahoma City,OK,
104,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-double-b-trailers-llc-oklahoma-city.html,Oklahoma City,OK,
105,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-new-age-diesel-oklahoma-city.html,Oklahoma City,OK,
106,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-diesel-machine-oklahoma-city.html,Oklahoma City,OK,
107,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-delco-diesel-services-inc-oklahoma-city.html,Oklahoma City,OK,
108,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-beyond-rv-oklahoma-city.html,Oklahoma City,OK,
109,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-steve-marks-rv-oklahoma-city.html,Oklahoma City,OK,
110,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-finishline-automotive-oklahoma-city.html,Oklahoma City,OK,
111,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-american-rv-outfitters-oklahoma-city.html,Oklahoma City,OK,
